,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
64,2023-07-01,CON,LVA,L,-18,81.0,81.1,1.05,1.26,28.6,31.9,27.1,36.1,11.4,64.5,36.4,24-42,12.5,14.8,33-70,47.1,36-72,50.0,6-20,30.0,7-23,30.4,12-19,63.2,23-26,88.5
65,2023-07-06,CON,SEA,W,20,78.2,82.1,1.19,0.89,20.6,35.8,27.0,25.4,21.4,72.7,49.2,30-31,21.8,24.4,34-63,54.0,26-67,38.8,9-13,69.2,8-24,33.3,16-17,94.1,13-17,76.5
66,2023-07-09,CON,WAS,W,8,78.0,76.4,1.19,1.11,38.5,27.9,32.3,24.6,13.3,80.0,43.6,24-31,14.3,22.4,33-65,50.8,33-61,54.1,13-25,52.0,7-17,41.2,13-21,61.9,11-15,73.3
67,2023-07-12,CON,CHI,W,12,75.3,75.8,1.12,0.96,29.0,32.3,24.6,29.0,25.0,75.9,49.2,30-31,13.3,21.3,34-69,49.3,25-62,40.3,6-20,30.0,8-20,40.0,10-17,58.8,14-18,77.8
70,2023-07-18,CON,PHO,L,-6,71.3,71.4,0.93,1.01,26.2,41.9,34.4,16.1,17.6,83.9,49.2,32-33,14.1,18.3,22-61,36.1,26-62,41.9,6-16,37.5,11-26,42.3,16-21,76.2,9-10,90.0
71,2023-07-20,CON,ATL,W,11,80.6,80.0,1.02,0.89,33.8,28.1,26.5,29.7,19.4,72.2,45.8,33-39,18.8,26.2,29-68,42.6,25-64,39.1,11-23,47.8,7-18,38.9,13-18,72.2,14-19,73.7
73,2023-05-20,DAL,ATL,W,7,84.9,86.6,1.01,0.91,40.5,39.0,35.1,17.1,31.7,61.4,47.1,40-45,19.0,22.1,27-74,36.5,29-82,35.4,9-30,30.0,9-32,28.1,22-26,84.6,11-14,78.6
74,2023-05-26,DAL,SEA,W,4,81.3,81.4,1.17,1.12,29.7,36.1,17.6,27.8,24.2,72.7,48.5,32-34,16.0,16.0,37-74,50.0,31-72,43.1,8-22,36.4,10-26,38.5,13-13,100.0,19-20,95.0
75,2023-05-28,DAL,CHI,L,-6,84.0,83.5,1.06,1.13,36.7,25.3,21.5,33.3,23.7,60.5,42.1,32-44,12.0,19.3,32-79,40.5,34-75,45.3,9-29,31.0,6-19,31.6,15-17,88.2,20-25,80.0
76,2023-05-30,DAL,MIN,W,5,78.4,80.1,1.21,1.11,30.7,26.5,29.3,25.0,30.8,77.4,51.4,36-34,11.5,18.8,33-75,44.0,33-68,48.5,8-23,34.8,9-18,50.0,20-22,90.9,14-17,82.4
